,event_number,event_name,event_date,venue,audience_size,city,state,country,event_day,event_month,event_year,event_dayname
0,1,UFC 1: The Beginning,1993-11-12,McNichols Sports Arena,7800.0,Denver,Colorado,U.S.,12,11,1993,Friday
1,2,UFC 2: No Way Out,1994-03-11,Mammoth Gardens,2000.0,Denver,Colorado,U.S.,11,3,1994,Friday
2,3,UFC 3: The American Dream,1994-09-09,Grady Cole Center,,Charlotte,North Carolina,U.S.,9,9,1994,Friday
3,4,UFC 4: Revenge of the Warriors,1994-12-16,Expo Square Pavilion,5857.0,Tulsa,Oklahoma,U.S.,16,12,1994,Friday
4,5,UFC 5: The Return of the Beast,1995-04-07,Independence Arena,6000.0,Charlotte,North Carolina,U.S.,7,4,1995,Friday
5,6,UFC 6: Clash of the Titans,1995-07-14,Casper Events Center,2700.0,Casper,Wyoming,U.S.,14,7,1995,Friday
6,7,UFC 7: The Brawl in Buffalo,1995-09-08,Buffalo Memorial Auditorium,9000.0,Buffalo,New York,U.S.,8,9,1995,Friday
7,8,UFC: The Ultimate Ultimate,1995-12-16,Mammoth Gardens,2800.0,Denver,Colorado,U.S.,16,12,1995,Saturday
8,9,UFC 8: David vs. Goliath,1996-02-16,Coliseo Rubén Rodríguez,13000.0,Bayamón,Puerto Rico,,16,2,1996,Friday
9,10,UFC 9: Motor City Madness,1996-05-17,Cobo Arena,10000.0,Detroit,Michigan,U.S.,17,5,1996,Friday
10,11,UFC 10: The Tournament,1996-07-12,Fair Park Arena,4300.0,Birmingham,Alabama,U.S.,12,7,1996,Friday
11,12,UFC 11: The Proving Ground,1996-09-20,Augusta Civic Center,4500.0,Augusta,Georgia,U.S.,20,9,1996,Friday
12,13,UFC: The Ultimate Ultimate 2,1996-12-07,Fair Park Arena,6000.0,Birmingham,Alabama,U.S.,7,12,1996,Saturday
13,14,UFC 12: Judgement Day,1997-02-07,Dothan Civic Center,3100.0,Dothan,Alabama,U.S.,7,2,1997,Friday
14,15,UFC 13: The Ultimate Force,1997-05-30,Augusta Civic Center,5100.0,Augusta,Georgia,U.S.,30,5,1997,Friday
15,16,UFC 14: Showdown,1997-07-27,Boutwell Memorial Auditorium,5000.0,Birmingham,Alabama,U.S.,27,7,1997,Sunday
16,17,UFC 15: Collision Course,1997-10-17,Casino Magic Bay St. Louis,,Bay St. Louis,Mississippi,U.S.,17,10,1997,Friday
17,18,UFC Japan: Ultimate Japan,1997-12-21,Yokohama Arena,5000.0,Yokohama,Japan,,21,12,1997,Sunday
18,19,UFC 16: Battle in the Bayou,1998-03-13,Pontchartrain Center,4600.0,New Orleans,Louisiana,U.S.,13,3,1998,Friday
19,20,UFC 17: Redemption,1998-05-15,Mobile Civic Center,,Mobile,Alabama,U.S.,15,5,1998,Friday
20,21,UFC Brazil: Ultimate Brazil,1998-10-16,Ginásio da Portuguesa,,São Paulo,Brazil,,16,10,1998,Friday
21,22,UFC 18: The Road to the Heavyweight Title,1999-01-08,Pontchartrain Center,,New Orleans,Louisiana,U.S.,8,1,1999,Friday
22,23,UFC 19: Ultimate Young Guns,1999-03-05,Casino Magic Bay St. Louis,,Bay St. Louis,Mississippi,U.S.,5,3,1999,Friday
23,24,UFC 20: Battle for the Gold,1999-05-07,Boutwell Memorial Auditorium,,Birmingham,Alabama,U.S.,7,5,1999,Friday
24,25,UFC 21: Return of the Champions,1999-07-16,Five Seasons Events Center,,Cedar Rapids,Iowa,U.S.,16,7,1999,Friday
25,26,UFC 22: Only One Can be Champion,1999-09-24,Lake Charles Civic Center,,Lake Charles,Louisiana,U.S.,24,9,1999,Friday
26,27,UFC 23: Ultimate Japan 2,1999-11-19,Tokyo Bay NK Hall,,Chiba,Japan,,19,11,1999,Friday
27,28,UFC 24: First Defense,2000-03-10,Lake Charles Civic Center,,Lake Charles,Louisiana,U.S.,10,3,2000,Friday
28,29,UFC 25: Ultimate Japan 3,2000-04-14,Yoyogi National Gymnasium,,Tokyo,Japan,,14,4,2000,Friday
29,30,UFC 26: Ultimate Field of Dreams,2000-06-09,Five Seasons Events Center,1100.0,Cedar Rapids,Iowa,U.S.,9,6,2000,Friday
30,31,UFC 27: Ultimate Bad Boyz,2000-09-22,Lakefront Arena,,New Orleans,Louisiana,U.S.,22,9,2000,Friday
31,32,UFC 28: High Stakes,2000-11-17,Trump Taj Mahal,,Atlantic City,New Jersey,U.S.,17,11,2000,Friday
32,33,UFC 29: Defense of the Belts,2000-12-16,Differ Ariake Arena,1414.0,Tokyo,Japan,,16,12,2000,Saturday
33,34,UFC 30: Battle on the Boardwalk,2001-02-23,Trump Taj Mahal,3000.0,Atlantic City,New Jersey,U.S.,23,2,2001,Friday
34,35,UFC 31: Locked and Loaded,2001-05-04,Trump Taj Mahal,,Atlantic City,New Jersey,U.S.,4,5,2001,Friday
35,36,UFC 32: Showdown in the Meadowlands,2001-06-29,Continental Airlines Arena,12500.0,East Rutherford,New Jersey,U.S.,29,6,2001,Friday
36,37,UFC 33: Victory in Vegas,2001-09-28,Mandalay Bay Events Center,9500.0,Las Vegas,Nevada,U.S.,28,9,2001,Friday
37,38,UFC 34: High Voltage,2001-11-02,MGM Grand Garden Arena,9000.0,Las Vegas,Nevada,U.S.,2,11,2001,Friday
38,39,UFC 35: Throwdown,2002-01-11,Mohegan Sun Arena,9600.0,Uncasville,Connecticut,U.S.,11,1,2002,Friday
39,40,UFC 36: Worlds Collide,2002-03-22,MGM Grand Garden Arena,10000.0,Las Vegas,Nevada,U.S.,22,3,2002,Friday
40,41,UFC 37: High Impact,2002-05-10,CenturyTel Center,7200.0,Bossier City,Louisiana,U.S.,10,5,2002,Friday
41,42,UFC 37.5: As Real As It Gets,2002-06-22,Bellagio,3700.0,Las Vegas,Nevada,U.S.,22,6,2002,Saturday
42,43,UFC 38: Brawl at the Hall,2002-07-13,Royal Albert Hall,5000.0,London,England,U.K.,13,7,2002,Saturday
43,44,UFC 39: The Warriors Return,2002-09-27,Mohegan Sun Arena,7800.0,Uncasville,Connecticut,U.S.,27,9,2002,Friday
44,45,UFC 40: Vendetta,2002-11-22,MGM Grand Garden Arena,13770.0,Las Vegas,Nevada,U.S.,22,11,2002,Friday
45,46,UFC 41: Onslaught,2003-02-28,Boardwalk Hall,11707.0,Atlantic City,New Jersey,U.S.,28,2,2003,Friday
46,47,UFC 42: Sudden Impact,2003-04-25,AmericanAirlines Arena,7500.0,Miami,Florida,U.S.,25,4,2003,Friday
47,48,UFC 43: Meltdown,2003-06-06,Thomas & Mack Center,9800.0,Las Vegas,Nevada,U.S.,6,6,2003,Friday
48,49,UFC 44: Undisputed,2003-09-26,Mandalay Bay Events Center,10400.0,Las Vegas,Nevada,U.S.,26,9,2003,Friday
49,50,UFC 45: Revolution,2003-11-21,Mohegan Sun Arena,9200.0,Uncasville,Connecticut,U.S.,21,11,2003,Friday
